"UCs6QpS7KxdsK8ULW9I4YUrw, That is how a true legend looks like ! :D"
"UC_EGtbuuY5lIja_IKM9qXsg, I’ve never seen someone’s soul completely leave their body before😂"
"UCctlappSAJRTVdHyJQMfK9Q, Shaq is so cool. Besides Kobe and the assault. This may be my favorite basketball player of all time and just an all around amazing dude."
"UCiP59G5S_7DNKdcFdnL7HBw, He can worry 😂😂😂😂 I love him"
"UC9RfZenJA3nuTKHnq4WTNeg, Shaq singing and dancing for 25 min straight"
"UCv6NQpCKtYEB_6VzhEY_Pmg, Shaq had the best hand shakes with his teammates"
"UC31IhbmCcwOT2w8KCXqLEGA, He&#39;s a happy human being"
"UCic358kzL6MNRXjK0QA4R9g, The signature victory dance is very unforgettable"
"UCfd_uCRErYOHifb9DWdX7GQ, He is the MVP of all time in born funny guy.Period."
"UCS7Nkp2DdS4vv2_kGzQtjFw, People in 2020: We have Tik Tok People in 2000: We have Shaq 😂"
"UCkLLEvwjdwDhVqTKjDVO95w, LOL he should be a comedian 🤣😂"
"UCDtNda04eIHNbKvClOaSlLQ, Shaq a BOSS and he&#39;s a great human too always being nice and funny he&#39;s great Shaq BIG LOVE coming to you from da UK thanks for everything you&#39;re truly special. Xx"
"UCkt9-QGriA-qdHikZCRUdCg, seeing shaq messing about with Kobe makes me tear up"
"UCsXbjnfRrlHbvWVEAKutwXQ, Kobe ´s death made me discover this gold. Shaq🙏🏽"
"UC35MvwI9IhWJHdTdcQLU2sQ, Omygod hes a big baby he wants a hug from everybody 🤣🤣😂😂"
"UCD7REeAsnTflTWdiFmwGT-w, He&#39;s like a giant teddy bear. 😍😍😍😍"
"UCdxdjGW4F0FE5a8-hnJb0qg, I LITERALLY JUST MET HIM TODAY 😃😃"
"UCNxKhZtNpeCGq-Bv54JhhSg, the true funny legend"
"UC0HVFhG8XFE0MItLwEGTpoQ, Love him so much 😂😘"
"UCD0MNgaBSGiILeBols5yYjA, When he grabbed that guys head like a ball at @   I died! Lmao"
"UCuHgJjDFXt0JKreu-JySPMQ, That&#39;s why we love shaq 😀"
"UCOQ5ChBwCYbOiBSonztzkQQ, Shaquille is the Basket KING KONG ;)))) I LOVE HIM !!!!!!!!!!!!!!!!!!!!!"
"UC3SkQD31m3XOidstsasuWog, If the heart of this person is divided into parts it will be enough for everyone"
"UCY8I7gOZ3UoSkCzLKomRiDA, Yeah big man Shaq is damn weird, hilarious and funny 😆 too."
"UCCGJgvephQZzppqv3C4nwgg, LOVE this man so much !!"
"UCi6XnnDaS5hsibOyJu0uikw, Shaq was a mess LOL 😆 ❤"
"UCmUOi-enPxDwiEAvPNFGFIA, The best END ”Tell your mother to call me” 😂😂😭💯"
"UCRWNkyidMjDleAfXd-e5ZPw, ，this is gold😂😂😂"
"UCQ0S02_jP63V4YACE7vuEnA, I love his personality he is hilarious. He needs a sneaker line forget Jordans get them o&#39;neals lol. I think he needs to try his hand at stand up comedy lol"
"UCxQgDNKkeYS5RM-qgpq14GA, We miss you shaq"
"UC-eAVp-I8dTxResXu-SRXxQ, The Karl Malone’s shoes 😂😂😂"
"UCG3h-7cdH6Vjq4rcRyIguLg, Shaq is just wholesome"
"UCaITJ6DZSp_gq-tSYyXdQOw, Shaq. A basketball player which is LEGENDARY  <b>the big shaq</b>"
"UCQzMrct5XyQ9A9XiTOB5fRg, Well for you young kids this was the most dominant force that ever stepped on court"
"UCQUBEiEERNB0SLktjRm1qdw, Fuckin hilarious love it big fella, wish you were still playing, no more humor like it now days"
"UCCKQfjk8keIipD8KWdh1rgw, He is the happiest player in NBA"
"UCAmHsax7EgMuxVPRmrPx8NA, seeing Shaq laughing while Kobe just stands there looking absorbed in the game made me realize why Kobe drove Shaq away from LA...  Kobe must hate fun."
"UCHlor82PG7EIQ2Eq6glLOow, Shaq is the funniest NBA personality of all time and the most dominant"
"UC-oKSPahQPi7uOCgK4zTuGw, 色んな選手と笑いあってて微笑ましいけど、やっぱ不仲説があっただけにコービーと笑いあってるシーンが1番微笑ましいわ"
"UCbpQ6oM2ZdFDZ7ACUkRS61g, Funny guy with a big heart"
"UCqvocb1Q2QBsJjnzPROQJxQ, Esse é o cara!"
"UC2vsHUBHb19ZG1hOm2a144g, Love you shaq 😂"
"UC_VQbyOqfER0Y0fVaQOSjHA, Shaq and those Mickey Mouse ears😄  ❤"
"UCBc6fX3G6PoPXCAMPB3_csQ, Kobe sit in the corner and looks so shy lol"
"UCfaBSLtMdG_1Wmayf0kw_Fg, I’m a simple man, I see Shaq  I click"
"UCJAV8cE0Z5MiOyoAxz7vO6g, 🤣🤣🤣🤣 so down to earth"
"UCO6EfGNYWv5GXaane93cT0g, Shaq is so full of life"
"UC97zjFS-UXqlUZigSK3pYwg, He is a big kid!! Like... a really big, massive giant kid eheh!!"
"UCY1XGsCga32FPfW4h-OjW4g, Shaq lenda"
"UCAXbQLFEgvmcXmb9la2wUog, Is a happy guy !! 👏👏"
"UCcO2rys5Gn8XFjgIRLoITiA, Fue uno de los mejores NBA yeaaaaaaaaa shaq"
